"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.899416791E-3,-7.017024234E-3,4.084280133E-2,-3.795661569E-2,5.619677681E-2
1.185141667E-2,8.346169442E-3,-7.252301574E-3,6.241800383E-2,6.338975962E-2
2.180241677E-2,6.916678704E-2,2.547631860E-2,4.371787727E-2,8.569912504E-2
3.175441665E-2,7.382146306E-2,2.155868411E-2,5.253006980E-2,9.313320301E-2
4.170541675E-2,7.392218135E-2,-1.078811288E-2,3.293678105E-2,8.164376168E-2
5.165641662E-2,5.333559684E-2,-1.900578976E-2,-2.123474836E-2,6.047165016E-2
6.160841673E-2,-5.487538800E-3,-8.145171404E-3,-1.057293534E-2,1.443065699E-2
7.155941683E-2,-4.188126683E-2,4.841494560E-3,-7.820650935E-4,4.216743064E-2
8.151041670E-2,-8.709566586E-2,6.183079720E-2,-1.240925342E-3,1.068187361E-1
9.146241681E-2,-1.080697746E-1,6.609809518E-2,-3.657623425E-2,1.318554332E-1
1.014134167E-1,-1.014852981E-1,2.856598735E-2,-8.261355579E-2,1.339413341E-1
1.113644168E-1,-8.433402590E-2,-1.031273425E-2,-3.444258526E-2,9.167808949E-2
1.213164167E-1,-5.180574596E-2,5.014864504E-2,4.038540289E-2,8.264201523E-2
1.312674168E-1,-4.356468022E-3,5.638470054E-2,5.148692653E-2,7.647951929E-2
1.412194166E-1,-1.184952870E-2,5.107308984E-2,1.231482089E-2,5.385653767E-2
1.511704167E-1,-1.384744920E-2,2.627972603E-2,-2.804865494E-2,4.085465571E-2
1.611214168E-1,-2.067728944E-2,2.319648921E-2,-5.447631553E-2,6.271599767E-2
1.710734167E-1,-1.464047782E-2,6.044851542E-3,-1.784409419E-2,2.385991447E-2
1.810244168E-1,1.804333806E-2,3.290812969E-3,-3.720144778E-3,1.871445900E-2
