"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.809708308E-3,7.768552244E-1,6.280927026E-1,-1.594031094E0,1.881206956E0
8.141291793E-3,7.433302134E-1,5.635496745E-1,-1.484799843E0,1.753498964E0
1.809229166E-2,5.772701660E-1,4.551191998E-1,-1.265898800E0,1.463855902E0
2.804429177E-2,4.804923150E-1,3.921999434E-1,-1.126515797E0,1.285974922E0
3.799529164E-2,3.310649648E-1,4.449032369E-1,-8.522726119E-1,1.016814391E0
4.794629174E-2,-2.925654352E-3,3.827762783E-2,-8.494004595E-1,8.502675325E-1
5.789829162E-2,-3.851484936E-1,-2.479657978E-1,-7.604350734E-1,8.877431497E-1
6.784929172E-2,-6.700037903E-1,-4.446895212E-2,-4.894844556E-1,8.309498173E-1
7.780029182E-2,-2.569766495E-1,2.275672013E-1,-2.680381197E-1,4.355091997E-1
8.775129169E-2,-3.239860332E-1,3.563608968E-1,-2.281361353E-1,5.329222596E-1
9.770329180E-2,-2.272385877E-1,-6.397263229E-2,-1.129378009E-1,2.616960456E-1
1.076542917E-1,-1.955267984E-1,-8.387626201E-2,-5.235713840E-2,2.191055137E-1
1.176052918E-1,-1.963296211E-1,-2.072721004E-1,3.131768703E-2,2.872069659E-1
1.275572916E-1,-1.878236765E-1,-3.537834442E-1,1.663310659E-1,4.337124419E-1
1.375082918E-1,-1.882683572E-1,-5.102099115E-1,3.104473901E-1,6.262082003E-1
1.474592916E-1,-1.439976257E-1,-5.972644275E-1,5.947261512E-1,8.550785388E-1
1.574112917E-1,-1.890857980E-1,-6.485673130E-1,9.065581620E-1,1.130593074E0
1.673622918E-1,-2.689692888E-1,-7.479062444E-1,1.207031956E0,1.445210840E0
1.773137501E-1,-3.409970453E-1,-8.497267342E-1,1.877250339E0,2.088631931E0
1.872657500E-1,-5.581474319E-1,-9.755342567E-1,2.074307354E0,2.359225856E0
1.972167501E-1,-4.784680089E-1,-9.496848857E-1,1.695236456E0,2.001164576E0
2.071677500E-1,-3.521421307E-1,-6.629865468E-1,1.487482545E0,1.666181132E0
2.171197501E-1,-3.470220163E-1,-4.815141159E-1,1.309654099E0,1.437871338E0
2.270707500E-1,-4.246800569E-1,-4.097915840E-1,1.019235177E0,1.177761707E0
2.370217501E-1,-4.902138957E-1,-2.555437893E-1,7.830784160E-1,9.585531271E-1
2.469737499E-1,-5.132057324E-1,-1.500594342E-1,5.426239514E-1,7.617996523E-1
2.569247501E-1,-5.467699197E-1,-7.053379297E-2,3.386941195E-1,6.470286451E-1
2.668757502E-1,-5.747085008E-1,1.101732373E-2,1.506675446E-1,5.942322369E-1
2.768267500E-1,-5.435165289E-1,4.799628496E-2,-2.148851752E-3,5.456358475E-1
2.867787501E-1,-4.828718394E-1,7.083609402E-2,-8.435544133E-2,4.952764945E-1
2.967297500E-1,-4.413753194E-1,6.222256064E-2,-1.818589318E-1,4.814109374E-1
3.066807501E-1,-4.304062352E-1,6.837149262E-2,-2.817475015E-1,5.189468594E-1
3.166327500E-1,-4.066367188E-1,1.385848582E-1,-3.624484330E-1,5.620747732E-1
3.265837501E-1,-4.699620643E-1,1.649318272E-1,-4.661365235E-1,6.821657482E-1
3.365347499E-1,-5.831121191E-1,1.800392783E-1,-5.206594706E-1,8.021970889E-1
3.464867501E-1,-6.216838619E-1,1.815969765E-1,-5.436583239E-1,8.455960378E-1
3.564377502E-1,-5.991679886E-1,2.507262683E-1,-4.630451006E-1,7.976695465E-1
3.663887500E-1,-4.947633219E-1,1.001195347E-1,-3.482987559E-1,6.132916837E-1
3.763407501E-1,-4.596089843E-1,1.745861650E-1,-2.524932969E-1,5.526966730E-1
3.862917500E-1,-4.679281104E-1,-1.737967908E-2,-3.532764906E-1,5.865688779E-1
3.962427501E-1,-3.409353572E-1,4.404356718E-2,-1.665403962E-1,3.819848913E-1
4.061947500E-1,-3.061634275E-1,-2.454193354E-2,2.428699493E-2,3.081042177E-1
4.161457501E-1,-2.863635859E-1,-4.110534132E-2,1.829394972E-1,3.422873238E-1
4.260967500E-1,-3.195494583E-1,4.405818522E-2,3.795831138E-1,4.981328340E-1
4.360487501E-1,-4.401626068E-1,1.675034326E-1,4.380681342E-1,6.431984224E-1
4.459997502E-1,-6.377903098E-1,1.545576972E-1,3.394022173E-1,7.388223238E-1
4.559507500E-1,-8.900175583E-1,8.711240351E-2,1.146048421E-1,9.015842139E-1
4.659017501E-1,-9.703819826E-1,-6.668749452E-3,-1.106117785E-1,9.766886044E-1
4.758537500E-1,-8.988214186E-1,-3.429742813E-2,-1.155912673E-1,9.068724261E-1
4.858047501E-1,-7.825530437E-1,1.517118573E-2,-6.533327937E-2,7.854220957E-1
4.957557500E-1,-6.593545488E-1,7.145706832E-2,-4.761943191E-2,6.649226601E-1
5.057077501E-1,-5.149148735E-1,1.503120339E-1,-1.733070865E-1,5.637077086E-1
5.156587500E-1,-4.109198043E-1,1.697306371E-1,-3.213261348E-1,5.485563413E-1
5.256097501E-1,-5.068398687E-1,1.786464715E-1,-4.091010278E-1,6.753997818E-1
5.355617502E-1,-6.259932598E-1,2.850751519E-1,-4.733093029E-1,8.349593402E-1
5.455127500E-1,-7.204632148E-1,3.173833573E-1,-5.872545791E-1,9.821748215E-1
5.554637501E-1,-6.343468845E-1,4.122228563E-2,-4.374214321E-1,7.716428941E-1
5.654157500E-1,-2.934702918E-1,-4.798388886E-1,8.531321526E-2,5.689011478E-1
5.753667501E-1,7.870849282E-2,-9.697361577E-1,5.449461731E-1,1.115145539E0
5.853177500E-1,3.295987755E-1,-1.169579955E0,6.531582543E-1,1.379553671E0
5.952687501E-1,4.756005344E-1,-9.562910700E-1,7.895410511E-1,1.328180541E0
6.052207500E-1,3.752459416E-1,-5.558480144E-1,5.419295946E-1,8.622437110E-1
6.151717501E-1,3.175102419E-1,-7.211774522E-1,-1.783946027E-1,8.079197395E-1
6.251227499E-1,4.036420673E-2,-6.693793076E-1,-6.548621330E-1,9.373058945E-1
6.350747501E-1,1.476831257E-1,-4.823490983E-1,-8.818273634E-1,1.015918529E0
6.450257502E-1,4.569435310E-1,-2.643491113E-1,-8.497245415E-1,1.000354757E0
6.549767500E-1,6.904441944E-1,-3.785563427E-1,-1.127006378E0,1.374831432E0
6.649287501E-1,7.547869554E-1,-5.492085010E-1,-1.281078172E0,1.585085047E0
6.748797500E-1,8.043447393E-1,-5.155589443E-1,-1.080865415E0,1.442581550E0
6.848307501E-1,8.168650898E-1,-4.754645866E-1,-8.158191691E-1,1.248557594E0
6.947827500E-1,6.901339996E-1,-5.263979280E-1,-5.027682332E-1,1.003073084E0
7.047337501E-1,6.392255089E-1,-5.172312480E-1,-1.479819915E-1,8.354855384E-1
7.146847500E-1,5.734808779E-1,-3.519708073E-1,1.726799726E-1,6.946813222E-1
7.246357501E-1,8.292141169E-1,-6.093360043E-1,2.229782699E-1,1.052903475E0
7.345877502E-1,7.443169311E-1,-1.064868017E0,4.549250722E-2,1.300008137E0
