"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.053291537E-3,-2.779061732E-1,-5.889140189E-1,-2.358111906E-1,6.925738086E-1
1.200429164E-2,-4.871484929E-1,-5.490155429E-1,-4.432809269E-1,8.574553637E-1
2.195629152E-2,-9.073308715E-1,-6.532719827E-1,-1.259275074E0,1.683979604E0
3.190729162E-2,-1.535004914E0,-6.437117851E-1,-1.733643892E0,2.403357254E0
4.185829172E-2,-1.507291743E0,5.914458632E-3,-1.073583877E0,1.850552814E0
5.181029160E-2,-1.684048540E0,-2.118761981E-1,-1.024959016E0,1.982788943E0
6.176129170E-2,-1.722934571E0,-2.564828521E-1,-1.316646785E0,2.183539728E0
7.171329157E-2,-1.493500792E0,-3.336421251E-2,-1.403579094E0,2.049802932E0
8.166429168E-2,-1.230300366E0,8.980738521E-3,-1.053406890E0,1.619686921E0
9.161629155E-2,-9.501707894E-1,3.939269185E-3,-6.989592022E-1,1.179569419E0
1.015672917E-1,-6.614358652E-1,-3.883896053E-2,-4.199072671E-1,7.844284426E-1
1.115192915E-1,-3.365533076E-1,-9.013833761E-2,-6.743242979E-2,3.548805170E-1
1.214702916E-1,6.572562754E-3,-1.420586890E-1,1.616439378E-1,2.152966148E-1
1.314222915E-1,1.769982876E-1,-1.584636372E-1,1.271278238E-1,2.694449883E-1
1.413732916E-1,1.917135367E-1,-8.212472856E-2,-3.214682221E-2,2.110259922E-1
1.513242917E-1,1.742362091E-1,7.578342319E-2,8.256970167E-2,2.071693496E-1
1.612762916E-1,7.950561449E-2,8.451916337E-2,5.257471329E-1,5.384001109E-1
1.712272917E-1,-8.910264954E-2,-4.415115595E-2,7.548211616E-1,7.613432818E-1
1.811792916E-1,-1.295687440E-1,-1.829412514E-1,5.623571348E-1,6.053933498E-1
1.911302917E-1,-2.144100890E-2,-2.107359910E-1,2.784034789E-2,2.136456406E-1
2.010822915E-1,1.224218385E-1,-1.441321117E-1,-3.169413078E-1,3.690704062E-1
2.110332916E-1,2.199919872E-1,-9.977396429E-2,-4.604395813E-1,5.199576198E-1
2.209852915E-1,2.603206721E-1,-7.153366685E-2,-7.752741373E-1,8.209347756E-1
2.309362916E-1,2.357212166E-1,1.249959290E-2,-1.100372311E0,1.125406573E0
2.408882917E-1,3.996815289E-1,9.817358136E-2,-1.407155836E0,1.466107405E0
2.508392916E-1,5.041741962E-1,1.097627628E-1,-1.180376254E0,1.288226527E0
2.607912917E-1,4.702456908E-1,3.352150261E-2,-8.911378849E-1,1.008157443E0
2.707422916E-1,4.642376767E-1,-6.568469703E-2,-7.348780632E-1,8.717091646E-1
2.806932917E-1,6.097575520E-1,-5.190690279E-2,-4.603080189E-1,7.657558821E-1
2.906452916E-1,8.411407558E-1,-3.813612521E-2,-8.914723456E-2,8.467109097E-1
3.005962917E-1,1.108292876E0,9.536808729E-4,2.944803983E-1,1.146748758E0
3.105482915E-1,1.306539872E0,6.021871984E-2,5.326649737E-1,1.412233942E0
3.204992916E-1,1.369570518E0,3.845012069E-2,5.750338984E-1,1.485888892E0
